year,ssb_ratio,ssb_t,low_ssb_ratio,high_ssb_ratio,recruitment_thousands,F_ratio,catches_t
1925,2.7853677114486,2880070.2136378526,2.17225983868941,4.1888870726717,28528949.3669439,0.0451927414173397,39424.0
1926,2.7892911068234,2884127.0044553955,2.17574127296925,4.1942870716452,28562907.9532497,0.0464310799192123,40365.0
1927,2.78937080157287,2884209.408826348,2.17325651788432,4.18318229861656,28512416.5179626,0.0483457354986599,41909.0
1928,2.78793315752316,2882722.8848789474,2.1689334804541,4.16573787680105,28476280.1983981,0.0507041072361583,43907.0
1929,2.78015827156668,2874683.652799947,2.16791134051358,4.20586617020635,28511100.3604785,0.0550630707269953,47677.0
1930,2.77263672485353,2866906.37349855,2.17014754560058,4.17103420756225,28556080.6704272,0.0545081843418185,47093.0
1931,2.76869456725864,2862830.1825454338,2.15631029286228,4.17758496713742,28492580.7749698,0.0488201518069866,42068.0
1932,2.77059712664229,2864797.4289481277,2.16214408025935,4.18613701492679,28499212.8997404,0.0549750477928972,47373.0
1933,2.77123145325861,2865453.3226694027,2.15853256361339,4.16560546965057,28509529.8330327,0.0593616136097967,51086.0
1934,2.75999138232588,2853831.08932496,2.15577435018767,4.16611455055777,28441703.0273769,0.0654073302009474,56079.0
1935,2.75831134272149,2852093.9283740204,2.1439318509827,4.1713825751514,28434775.0205951,0.0706878822497303,60507.0
1936,2.74168050459336,2834897.6417495343,2.13989071619636,4.1355781847042,28510488.0710269,0.0798533282067751,67497.0
1937,2.72758554050991,2820323.448887247,2.12043961153263,4.11781399433506,28411603.3271832,0.0766159728707997,64562.0
1938,2.71081981850529,2802987.69233447,2.11072011130531,4.09502510085384,28408607.0168958,0.0770114813940777,64712.0
1939,2.7004428200418,2792257.875923221,2.10626391527384,4.08725795590091,28444923.090292,0.0580943084899458,48609.0
1940,2.70827213102118,2800353.3834759,2.11181611879245,4.0886605373281,28432506.2471796,0.0509147217962599,42721.0
1941,2.71826949623576,2810690.659107776,2.11473833867664,4.11032346023296,28433477.7612661,0.0688073123834047,57754.0
1942,2.7104008503539,2802554.479265933,2.10808755700654,4.10184856920322,28434724.3660264,0.0812823040178556,68085.0
1943,2.69110561897822,2782603.2100234795,2.10049496047514,4.10550999024144,28422094.6389157,0.0911222453997669,75808.0
1944,2.68192877551098,2773114.3538783533,2.08538527034548,4.0577941278583,28427736.2380583,0.0731428792000523,60906.0
1945,2.67263502017542,2763504.6108613843,2.07570154269578,4.06482216075274,28403702.4802632,0.0761577668475781,62807.0
1946,2.67420191734504,2765124.782534771,2.0785313302739,4.05677008483441,28446827.6844883,0.0563708428645106,46604.0
1947,2.68036202957287,2771494.3385783476,2.08485292581092,4.08830253259087,28455685.2395309,0.0466613370233633,38913.0
1948,2.69633694512877,2788012.401263148,2.09643616896463,4.09939048717418,28438288.0531927,0.0499224402828217,41791.0
1949,2.70653505943824,2798557.25145914,2.10503227950152,4.11033015793654,28402828.8457045,0.0746313377982143,62362.0
1950,2.69262926007997,2784178.6549226893,2.10018327897608,4.09679589419896,28427616.3189965,0.079738687874705,66595.0
1951,2.69060419941373,2782084.7421937967,2.09365419380617,4.06147546426635,28474830.4530265,0.0679494914844326,56712.0
1952,2.69353236633987,2785112.4667954254,2.0922419374899,4.09021999513729,28410513.0155669,0.0635838224940018,52949.0
1953,2.68560694600193,2776917.5821659956,2.09615026686954,4.07974454438434,28418759.2286737,0.104615858067288,86728.0
1954,2.66467485709784,2755273.8022391666,2.07528422683846,4.05054951157386,28338661.5274644,0.102371191016068,83947.0
1955,2.64964791257761,2739735.9416052485,2.05350127971143,4.0259672770479,28347133.9838471,0.231115886950786,184885.0
1956,2.55352484692097,2640344.691716283,1.97560453394458,3.90991400751054,28312777.6420751,0.234452426711153,180244.0
1957,2.46106284657959,2544738.983363296,1.90491749710278,3.80193024778089,28231656.8919688,0.204447314015868,152126.0
1958,2.41635947575665,2498515.697932376,1.8527625460069,3.73808042943661,28108922.9943704,0.228565793320225,165452.0
1959,2.35845056204532,2438637.881154861,1.81801890695279,3.70134220684308,28055815.6792569,0.239150466201726,168709.0
1960,2.30678112808419,2385211.686439052,1.76754967299529,3.62636087658963,28019785.0567446,0.225088198790371,154894.0
1961,2.2748768415934,2352222.6542075756,1.75045141737735,3.60483773980808,27968141.2078098,0.240791853289586,162346.0
1962,2.23736960213012,2313440.1686025443,1.71681961176406,3.55982589103498,27914513.1309308,0.244672494117826,162767.0
1963,2.20586428992301,2280863.6757803923,1.68989133325423,3.52831362691662,27867434.1810569,0.317613730848742,205899.0
1964,2.14052169039346,2213299.4278668375,1.63670846997597,3.44760599271724,27818123.9681542,0.28825436113815,181712.0
1965,2.10993068403658,2181668.327293824,1.60230013522409,3.4080065880201,27712462.9661762,0.314518330183621,194208.0
1966,2.06230594936573,2132424.351644165,1.5659899970369,3.38052774375248,18625725.357948,0.3600611548897,216123.0
1967,1.99370976284478,2061495.8947815024,1.51045387617267,3.27141785425228,22325971.2201268,0.477014657089929,269141.0
1968,1.84541463689544,1908158.734549885,1.40205641225726,3.06094232399194,18286801.0530937,0.625991953095597,323765.0
1969,1.63918593152956,1694918.253201565,1.25468064478985,2.77749097278643,18154277.4218282,0.579530958825118,269536.0
1970,1.49466106887659,1545479.5452183941,1.14589229272636,2.54193500251454,35184510.3861748,0.687612720587033,288626.0
1971,1.34319978130381,1388868.5738681394,1.02938411663364,2.2951713567406,22477928.2670398,0.812018252557329,305211.0
1972,1.27783341948774,1321279.7557503232,0.974350700154945,2.22887357370456,31375767.3871268,0.771754459898868,268832.0
1973,1.24868043661772,1291135.5714627225,0.943760801960015,2.16539961203557,31288810.263807,1.17975169457986,376787.0
1974,1.15482723604381,1194091.3620692997,0.864596594917715,2.00128298313986,26423215.3244753,1.29510371332042,368652.0
1975,1.14690847101559,1185903.35903012,0.848580232275216,1.99048005699699,44219717.2442894,1.30269378588479,354851.0
1976,1.04513168444329,1080666.161714362,0.768266968796339,1.83247616224001,27907780.31556,1.2017587598448,305420.0
1977,1.18655625664218,1226899.169368014,0.854441584318947,2.05661697778289,40149579.8275225,1.06398643648269,301952.0
1978,1.27380603491863,1317115.4401058634,0.907510117110746,2.1759638046209,34263135.0865733,0.943400550949024,278966.0
1979,1.29321877075888,1337188.208964682,0.91534966710832,2.19583323431799,64016247.5158815,0.96245356514143,278182.0
1980,1.17738370916373,1217414.7552752967,0.837106700992523,1.99055385406648,88476138.3471774,0.984725556847183,270282.0
1981,1.10974878018025,1147480.2387063785,0.794060686825263,1.88265265919219,64533241.0183482,1.07647678068714,293615.0
